id;tournament;stage;session_no;game_no;date;score_or_attendance;place_or_result;comment;extra;label
891;Life is Feudal;week;8;1;;0;;;плотник;Рядовой
891;Life is Feudal;week;9;1;;0;;;плотник;Рядовой
891;Life is Feudal;week;10;1;;0;;;плотник;Рядовой
891;Bandy;bandy;1;1;;0;;;;1 игра
891;Bandy;bandy;2;1;;0;;;;2 игра
2327;Business Cats;training;1;1;;0;1;;;1 Тренировочная
2327;Business Cats;training;2;1;;0;2;;;2 Тренировочная
2327;Business Cats;training;2;2;;0;2;;;2 Тренировочная
2327;Business Cats;rating;1;1;;0;1;;;1 Рейтинговая
2327;Business Cats;rating;1;2;;0;1;;;1 Рейтинговая
2327;Business Cats;rating;2;1;;0;12;;;2 Рейтинговая
2327;Business Cats;rating;2;2;;0;12;;;2 Рейтинговая
2327;Business Cats;rating;3;1;;0;16;;;3 Рейтинговая
2327;Business Cats;rating;3;2;;0;16;;;3 Рейтинговая
2327;Пейнтбол;paintball;1;1;;0;Победа;;;Тренировочный бой
2327;Пейнтбол;paintball;2;1;;0;Проигрыш;;;1 Групповой бой
2327;Пейнтбол;paintball;3;1;;0;Победа;;;2 Групповой бой
2327;Пейнтбол;paintball;4;1;;#Н/Д;#Н/Д;;;3 Групповой бой
2327;Пейнтбол;paintball;5;1;;0;33 мин;;;1 сценарный бой
2327;Пейнтбол;paintball;6;1;;0;47 мин;;;2 сценарный бой
2327;Пейнтбол;paintball;7;1;;0;1/16 финала;;;Плей-Офф
2327;Civilization: Solo;week;1;1;;0;;;;1708
2327;Civilization: Solo;week;2;1;;0;;;;1708
2327;Civilization: Solo;week;3;1;;#Н/Д;;;;1708
2327;Civilization: Solo;week;4;1;;#Н/Д;;;;1708
2327;Civilization: Solo;week;5;1;;0;;;;1708
2327;Civilization: Solo;week;6;1;;0;;;;1708
2327;Civilization: Solo;week;7;1;;0;;;;1708
2327;Civilization: Solo;week;8;1;;0;;;;1708
2327;Civilization: Solo;week;9;1;;0;;;;1708
2327;Civilization: DUEL;week;1;1;;0;;;;Не защитился
2327;Civilization: DUEL;week;2;1;;0;;;;Не защитился
2327;Civilization: DUEL;week;3;1;;0;;;;Не защитился
2327;Civilization: DUEL;week;4;1;;0;;;;Не защитился
2327;Civilization: DUEL;week;5;1;;0;;;;Не защитился
2327;Civilization: DUEL;week;6;1;;0;;;;Не защитился
2327;Civilization: DUEL;week;7;1;;0;;;;Не защитился
2327;Civilization: DUEL;week;8;1;;0;;;;Не защитился
2327;Life is Feudal;week;1;1;;0;;;;Лорд
2327;Life is Feudal;week;2;1;;0;;;;Лорд
2327;Life is Feudal;week;3;1;;0;;;;Лорд
2327;Life is Feudal;week;4;1;;0;;;;Лорд
2327;Life is Feudal;week;5;1;;0;;;;Лорд
2327;Life is Feudal;week;6;1;;0;;;;Лорд
2327;Life is Feudal;week;7;1;;0;;;;Лорд
2327;Life is Feudal;week;8;1;;0;;;;Лорд
2327;Life is Feudal;week;9;1;;0;;;;Лорд
2327;Life is Feudal;week;10;1;;0;;;;Лорд
2327;Bandy;bandy;1;1;;0;;;;1 игра
2327;Bandy;bandy;2;1;;0;;;;2 игра
2328;Business Cats;training;1;1;;0;16;;;1 Тренировочная
2328;Business Cats;training;2;1;;0;1;;;2 Тренировочная
2328;Business Cats;training;2;2;;0;1;;;2 Тренировочная
2328;Business Cats;rating;1;1;;0;2;;;1 Рейтинговая
2328;Business Cats;rating;1;2;;0;2;;;1 Рейтинговая
2328;Business Cats;rating;2;1;;0;9;;;2 Рейтинговая
2328;Business Cats;rating;2;2;;0;9;;;2 Рейтинговая
2328;Business Cats;rating;3;1;;0;14;;;3 Рейтинговая
2328;Business Cats;rating;3;2;;0;14;;;3 Рейтинговая
2328;Пейнтбол;paintball;1;1;;0;Победа;;;Тренировочный бой
2328;Пейнтбол;paintball;2;1;;0;Проигрыш;;;1 Групповой бой
2328;Пейнтбол;paintball;3;1;;0;Победа;;;2 Групповой бой
2328;Пейнтбол;paintball;4;1;;#Н/Д;#Н/Д;;;3 Групповой бой
2328;Пейнтбол;paintball;5;1;;0;33 мин;;;1 сценарный бой
2328;Пейнтбол;paintball;6;1;;0;47 мин;;;2 сценарный бой
2328;Пейнтбол;paintball;7;1;;0;1/16 финала;;;Плей-Офф
2328;Civilization: Solo;week;1;1;;0;;;;
2328;Civilization: Solo;week;2;1;;0;;;;
2328;Civilization: Solo;week;3;1;;#Н/Д;;;;
2328;Civilization: Solo;week;4;1;;0;;;;
2328;Civilization: Solo;week;5;1;;0;;;;
2328;Civilization: Solo;week;6;1;;0;;;;
2328;Civilization: Solo;week;7;1;;0;;;;
2328;Civilization: Solo;week;8;1;;0;;;;
2328;Civilization: Solo;week;9;1;;0;;;;
2328;Civilization: DUEL;week;1;1;;0;;;;Не защитился
2328;Civilization: DUEL;week;2;1;;0;;;;Не защитился
2328;Civilization: DUEL;week;3;1;;0;;;;Не защитился
2328;Civilization: DUEL;week;4;1;;0;;;;Не защитился
2328;Civilization: DUEL;week;5;1;;0;;;;Не защитился
2328;Civilization: DUEL;week;6;1;;0;;;;Не защитился
2328;Civilization: DUEL;week;7;1;;0;;;;Не защитился
2328;Civilization: DUEL;week;8;1;;0;;;;Не защитился
2328;Life is Feudal;week;1;1;;0;;;кожевник;Сержант
2328;Life is Feudal;week;2;1;;0;;;кожевник;Сержант
2328;Life is Feudal;week;3;1;;0;;;кожевник;Сержант
2328;Life is Feudal;week;4;1;;0;;;кожевник;Сержант
2328;Life is Feudal;week;5;1;;0;;;кожевник;Сержант
2328;Life is Feudal;week;6;1;;0;;;кожевник;Сержант
2328;Life is Feudal;week;7;1;;0;;;кожевник;Сержант
2328;Life is Feudal;week;8;1;;0;;;кожевник;Сержант
2328;Life is Feudal;week;9;1;;0;;;кожевник;Сержант
2328;Life is Feudal;week;10;1;;0;;;кожевник;Сержант
2328;Bandy;bandy;1;1;;0;;;;1 игра
2328;Bandy;bandy;2;1;;0;;;;2 игра
1553;Business Cats;training;1;1;;0;2;;;1 Тренировочная
1553;Business Cats;training;2;1;;0;1;;;2 Тренировочная
1553;Business Cats;training;2;2;;0;1;;;2 Тренировочная
1553;Business Cats;rating;1;1;;0;2;;;1 Рейтинговая
1553;Business Cats;rating;1;2;;0;2;;;1 Рейтинговая
1553;Business Cats;rating;2;1;;0;6;;;2 Рейтинговая
1553;Business Cats;rating;2;2;;0;6;;;2 Рейтинговая
1553;Business Cats;rating;3;1;;0;7;;;3 Рейтинговая
1553;Business Cats;rating;3;2;;0;7;;;3 Рейтинговая
1553;Пейнтбол;paintball;1;1;;0;Проигрыш;;;Тренировочный бой
1553;Пейнтбол;paintball;2;1;;0;Победа;;;1 Групповой бой
1553;Пейнтбол;paintball;3;1;;0;Победа;;;2 Групповой бой
1553;Пейнтбол;paintball;4;1;;0;Победа;;;3 Групповой бой
1553;Пейнтбол;paintball;5;1;;0;41 мин;;;1 сценарный бой
1553;Пейнтбол;paintball;6;1;;0;32 мин;;;2 сценарный бой
1553;Пейнтбол;paintball;7;1;;0;1/16 финала;;;Плей-Офф
1553;Civilization: Solo;week;1;1;;0;;;;
1553;Civilization: Solo;week;2;1;;0;;;;
1553;Civilization: Solo;week;3;1;;0;;;;
1553;Civilization: Solo;week;4;1;;0;;;;
1553;Civilization: Solo;week;5;1;;0;;;;
1553;Civilization: Solo;week;6;1;;0;;;;
1553;Civilization: Solo;week;7;1;;0;;;;
1553;Civilization: Solo;week;8;1;;0;;;;
1553;Civilization: Solo;week;9;1;;0;;;;
1553;Civilization: DUEL;week;1;1;;0;;;;Не защитился
1553;Civilization: DUEL;week;2;1;;0;;;;Не защитился
1553;Civilization: DUEL;week;3;1;;0;;;;Не защитился
1553;Civilization: DUEL;week;4;1;;0;;;;Не защитился
1553;Civilization: DUEL;week;5;1;;0;;;;Не защитился
1553;Civilization: DUEL;week;6;1;;0;;;;Не защитился
1553;Civilization: DUEL;week;7;1;;0;;;;Не защитился
1553;Civilization: DUEL;week;8;1;;0;;;;Не защитился
1553;Life is Feudal;week;1;1;;0;;;кузнец;Сержант
1553;Life is Feudal;week;2;1;;0;;;кузнец;Сержант
1553;Life is Feudal;week;3;1;;0;;;кузнец;Сержант
1553;Life is Feudal;week;4;1;;0;;;кузнец;Сержант
1553;Life is Feudal;week;5;1;;0;;;кузнец;Сержант
1553;Life is Feudal;week;6;1;;0;;;кузнец;Сержант
1553;Life is Feudal;week;7;1;;0;;;кузнец;Сержант
1553;Life is Feudal;week;8;1;;0;;;кузнец;Сержант
1553;Life is Feudal;week;9;1;;0;;;кузнец;Сержант
1553;Life is Feudal;week;10;1;;0;;;кузнец;Сержант
1553;Bandy;bandy;1;1;;0;;;;1 игра
1553;Bandy;bandy;2;1;;0;;;;2 игра
517;Business Cats;training;1;1;;0;5;;;1 Тренировочная
517;Business Cats;training;2;1;;0;3;;;2 Тренировочная
517;Business Cats;training;2;2;;0;3;;;2 Тренировочная
517;Business Cats;rating;1;1;;0;1;;;1 Рейтинговая
517;Business Cats;rating;1;2;;0;1;;;1 Рейтинговая
517;Business Cats;rating;2;1;;0;2;;;2 Рейтинговая
517;Business Cats;rating;2;2;;0;2;;;2 Рейтинговая
517;Business Cats;rating;3;1;;0;3;;;3 Рейтинговая
517;Business Cats;rating;3;2;;0;3;;;3 Рейтинговая
517;Пейнтбол;paintball;1;1;;0;Победа;;;Тренировочный бой
517;Пейнтбол;paintball;2;1;;0;Победа;;;1 Групповой бой
517;Пейнтбол;paintball;3;1;;0;Проигрыш;;;2 Групповой бой
517;Пейнтбол;paintball;4;1;;0;Победа;;;3 Групповой бой
517;Пейнтбол;paintball;5;1;;0;25 мин;;;1 сценарный бой
517;Пейнтбол;paintball;6;1;;0;20 мин;;;2 сценарный бой
517;Пейнтбол;paintball;7;1;;0;Выбыл с плей-офф;;;Плей-Офф
517;Civilization: Solo;week;1;1;;0;;;;
517;Civilization: Solo;week;2;1;;0;;;;
517;Civilization: Solo;week;3;1;;0;;;;
517;Civilization: Solo;week;4;1;;0;;;;
517;Civilization: Solo;week;5;1;;0;;;;
517;Civilization: Solo;week;6;1;;0;;;;
517;Civilization: Solo;week;7;1;;0;;;;
517;Civilization: Solo;week;8;1;;0;;;;
517;Civilization: Solo;week;9;1;;0;;;;
517;Civilization: DUEL;week;1;1;;0;;;;1710
517;Civilization: DUEL;week;2;1;;0;;;;1710
517;Civilization: DUEL;week;3;1;;0;;;;1710
517;Civilization: DUEL;week;4;1;;0;;;;1710
517;Civilization: DUEL;week;5;1;;0;;;;1710
517;Civilization: DUEL;week;6;1;;0;;;;1710
517;Civilization: DUEL;week;7;1;;0;;;;1710
517;Civilization: DUEL;week;8;1;;0;;;;1710
517;Life is Feudal;week;1;1;;0;;;;Лорд
517;Life is Feudal;week;2;1;;0;;;;Лорд
517;Life is Feudal;week;3;1;;0;;;;Лорд
517;Life is Feudal;week;4;1;;0;;;;Лорд
517;Life is Feudal;week;5;1;;0;;;;Лорд
517;Life is Feudal;week;6;1;;0;;;;Лорд
517;Life is Feudal;week;7;1;;0;;;;Лорд
517;Life is Feudal;week;8;1;;0;;;;Лорд
517;Life is Feudal;week;9;1;;0;;;;Лорд
517;Life is Feudal;week;10;1;;0;;;;Лорд
517;Bandy;bandy;1;1;;0;;;;1 игра
517;Bandy;bandy;2;1;;0;;;;2 игра
1620;Business Cats;training;1;1;;0;11;;;1 Тренировочная
1620;Business Cats;training;2;1;;0;1;;;2 Тренировочная
1620;Business Cats;training;2;2;;0;1;;;2 Тренировочная
1620;Business Cats;rating;1;1;;0;1;;;1 Рейтинговая
1620;Business Cats;rating;1;2;;0;1;;;1 Рейтинговая
1620;Business Cats;rating;2;1;;0;21;;;2 Рейтинговая
1620;Business Cats;rating;2;2;;0;21;;;2 Рейтинговая
1620;Business Cats;rating;3;1;;0;1;;;3 Рейтинговая
1620;Business Cats;rating;3;2;;0;1;;;3 Рейтинговая
1620;Пейнтбол;paintball;1;1;;0;Победа;;;Тренировочный бой
1620;Пейнтбол;paintball;2;1;;0;Проигрыш;;;1 Групповой бой
1620;Пейнтбол;paintball;3;1;;0;Победа;;;2 Групповой бой
1620;Пейнтбол;paintball;4;1;;0;Проигрыш;;;3 Групповой бой
1620;Пейнтбол;paintball;5;1;;0;45 мин;;;1 сценарный бой
1620;Пейнтбол;paintball;6;1;;0;43 мин;;;2 сценарный бой
1620;Пейнтбол;paintball;7;1;;0;Выбыл с плей-офф;;;Плей-Офф
1620;Civilization: Solo;week;1;1;;0;;;;
1620;Civilization: Solo;week;2;1;;0;;;;
1620;Civilization: Solo;week;3;1;;0;;;;
1620;Civilization: Solo;week;4;1;;0;;;;
1620;Civilization: Solo;week;5;1;;0;;;;
1620;Civilization: Solo;week;6;1;;0;;;;
1620;Civilization: Solo;week;7;1;;0;;;;
1620;Civilization: Solo;week;8;1;;0;;;;
1620;Civilization: Solo;week;9;1;;0;;;;
1620;Civilization: DUEL;week;1;1;;0;;;;Не защитился
1620;Civilization: DUEL;week;2;1;;0;;;;Не защитился
1620;Civilization: DUEL;week;3;1;;0;;;;Не защитился
1620;Civilization: DUEL;week;4;1;;0;;;;Не защитился
1620;Civilization: DUEL;week;5;1;;0;;;;Не защитился
1620;Civilization: DUEL;week;6;1;;0;;;;Не защитился
1620;Civilization: DUEL;week;7;1;;0;;;;Не защитился
1620;Civilization: DUEL;week;8;1;;0;;;;Не защитился
1620;Life is Feudal;week;1;1;;0;;;фермер;Сержант
1620;Life is Feudal;week;2;1;;0;;;фермер;Сержант
1620;Life is Feudal;week;3;1;;0;;;фермер;Сержант
1620;Life is Feudal;week;4;1;;0;;;фермер;Сержант
1620;Life is Feudal;week;5;1;;0;;;фермер;Сержант
1620;Life is Feudal;week;6;1;;0;;;фермер;Сержант
1620;Life is Feudal;week;7;1;;0;;;фермер;Сержант
1620;Life is Feudal;week;8;1;;0;;;фермер;Сержант
1620;Life is Feudal;week;9;1;;0;;;фермер;Сержант
1620;Life is Feudal;week;10;1;;0;;;фермер;Сержант
1620;Bandy;bandy;1;1;;0;;;;1 игра
1620;Bandy;bandy;2;1;;0;;;;2 игра
856;Business Cats;training;1;1;;0;1;;;1 Тренировочная
856;Business Cats;training;2;1;;0;1;;;2 Тренировочная
856;Business Cats;training;2;2;;0;1;;;2 Тренировочная
856;Business Cats;rating;1;1;;0;3;;;1 Рейтинговая
856;Business Cats;rating;1;2;;0;3;;;1 Рейтинговая
856;Business Cats;rating;2;1;;-1;;;;2 Рейтинговая
856;Business Cats;rating;2;2;;-1;;;;2 Рейтинговая
856;Business Cats;rating;3;1;;С;6;;;3 Рейтинговая
856;Business Cats;rating;3;2;;0;6;;;3 Рейтинговая
856;Пейнтбол;paintball;1;1;;0;Победа;;;Тренировочный бой
856;Пейнтбол;paintball;2;1;;0;Проигрыш;;;1 Групповой бой
856;Пейнтбол;paintball;3;1;;0;Победа;;;2 Групповой бой
856;Пейнтбол;paintball;4;1;;0;Проигрыш;;;3 Групповой бой
856;Пейнтбол;paintball;5;1;;0;37 мин;;;1 сценарный бой
856;Пейнтбол;paintball;6;1;;-1;53 мин + 8 мин штраф;;;2 сценарный бой
856;Пейнтбол;paintball;7;1;;-1;Выбыл с плей-офф;;;Плей-Офф
856;Civilization: Solo;week;1;1;;C;;;;
856;Civilization: Solo;week;2;1;;С;;;;
856;Civilization: Solo;week;3;1;;0;;;;
856;Civilization: Solo;week;4;1;;0;;;;
856;Civilization: Solo;week;5;1;;0;;;;
856;Civilization: Solo;week;6;1;;0;;;;
856;Civilization: Solo;week;7;1;;0;;;;
856;Civilization: Solo;week;8;1;;0;;;;
856;Civilization: Solo;week;9;1;;С;;;;
856;Civilization: DUEL;week;1;1;;С;;;;Не защитился
856;Civilization: DUEL;week;2;1;;-1;;;;Не защитился
856;Civilization: DUEL;week;3;1;;С;;;;Не защитился
856;Civilization: DUEL;week;4;1;;-1;;;;Не защитился
856;Civilization: DUEL;week;5;1;;-1;;;;Не защитился
856;Civilization: DUEL;week;6;1;;-1;;;;Не защитился
856;Civilization: DUEL;week;7;1;;-1;;;;Не защитился
856;Civilization: DUEL;week;8;1;;С;;;;Не защитился
856;Life is Feudal;week;1;1;;-1;;;;Резерв
856;Life is Feudal;week;2;1;;-1;;;;Резерв
856;Life is Feudal;week;3;1;;-1;;;;Резерв
